,0,1,2,3,4,5
0,207165,2,16175,20060416,122398782,1
1,211816,0,19366,20060817,122398719,2
2,212245,3,15127,20060530,122398719,3
3,214627,1,11420,20060120,122398719,4
4,210774,0,13876,20060321,122398719,5
5,212697,1,14833,20060718,122398719,6
6,207591,1,15722,20060717,122398719,7
7,209706,1,13800,20060711,122398719,8
8,108870,1,8131,20060605,122398744,9
9,104177,0,17020,20060211,122398719,10
10,108957,0,16881,20060821,122398719,11
11,108651,0,16394,20060413,122398719,12
12,108789,0,12887,20060321,122398719,13
13,226050,0,10325,20060710,122398719,14
14,229603,1,7828,20060629,122398719,15
15,221569,0,7152,20060815,122398719,16
16,227555,0,7182,20060719,122398719,17
17,225775,0,10451,20060420,122398719,18
18,227777,0,10215,20060413,122398719,19
19,234766,2,18520,20060706,122398719,20
20,233980,0,14510,20060830,122398719,21
21,232747,0,16587,20060308,122398719,22
22,232155,0,15493,20060730,122398719,23
23,234012,0,14646,20060717,122398719,24
24,232127,2,16733,20060529,122398719,25
25,48620,1,19391,20060822,122398719,26
26,55460,0,14582,20060413,122398719,27
27,53225,5,8945,20060420,122398719,28
28,54280,0,13976,20060815,122398719,29
29,53833,1,8891,20060724,122398719,30
30,441587,0,8655,20060817,122398719,31
31,436091,0,15207,20060801,122398719,32
32,445357,1,11621,20060404,122398719,33
33,443059,0,11769,20060725,122398719,34
34,442755,1,12036,20060627,122398719,35
35,330026,0,12516,20060118,122398719,36
36,331304,3,5191,20051216,122398719,37
37,331289,3,8034,20060607,122398719,38
38,330351,0,6973,20060710,122398719,39
39,459386,1,14259,20060719,122398719,40
40,459104,4,6152,20060819,122398719,41
41,455039,0,17746,20060128,122398719,42
42,463074,1,15381,20060216,122398719,43
43,521942,1,731,20060714,122398719,44
44,527147,0,15633,20060720,122398719,45
45,518632,0,9929,20060719,122398719,46
46,513336,0,10789,20060407,122398719,47
47,415568,1,5523,20060126,122398719,48
48,410302,0,17025,20060705,122398719,49
49,412023,4,7767,20060802,122398794,50
50,417015,0,10135,20060526,122398719,51
51,123119,2,16110,20060423,122398719,52
52,129636,8,9720,20060122,122398794,53
53,134702,1,12015,20060530,122398719,54
54,132886,0,14302,20060423,122398719,55
55,512614,0,14145,20060815,122398719,56
56,517976,0,10988,20060802,122398719,57
57,509704,1,11823,20060707,122398719,58
58,516117,0,13985,20060530,122398719,59
59,524937,1,18757,20060725,122398719,60
60,524755,0,9641,20060529,122398719,61
61,529542,0,9644,20060814,122398719,62
62,528906,0,11429,20060814,122398719,63
63,294245,3,13223,20060711,122398719,64
64,289455,4,16970,20060813,122398719,65
65,294391,0,12460,20060420,122398719,66
66,65172,1,2697,20060813,122398719,67
67,72526,0,9029,20060221,122398719,68
68,65300,0,1824,20060714,122398719,69
69,63914,5,1671,20060629,122398719,70
70,216339,2,13246,20060308,122398719,71
71,215051,0,9531,20060815,122398719,72
72,212261,0,6550,20060307,122398719,73
73,216431,1,12599,20060209,122398719,74
74,185778,4,13550,20060813,122398719,75
75,190634,0,5495,20060710,122398719,76
76,185739,0,12773,20060118,122398719,77
77,188144,0,9608,20060209,122398719,78
78,208622,0,77,20060726,122398719,79
79,210542,0,503,20060709,122398719,80
80,211428,1,934,20060823,122398719,81
81,209362,3,287,20060308,122398719,82
82,236613,0,14112,20060420,122398719,83
83,234336,21,13684,20060618,122398719,84
84,234479,0,10884,20060730,122398719,85
85,351356,1,19172,20060720,122398719,86
86,350963,1,19818,20060607,122398719,87
87,349169,0,18338,20060720,122398719,88
88,53728,1,18289,20060529,122398719,89
89,61137,1,18942,20060403,122398719,90
90,59307,3,14213,20060802,122398719,91
91,310509,1,7198,20060420,122398719,92
92,301225,0,9592,20060813,122398719,93
93,303850,1,5431,20060209,122398719,94
94,326622,2,14980,20060627,122398719,95
95,316973,0,11050,20060706,122398719,96
96,317639,2,14668,20060710,122398719,97
97,400018,1,9708,20060220,122398719,98
98,394304,0,5981,20060717,122398719,99
99,397041,1,13304,20060220,122398719,100
100,378476,3,15904,20060719,122398719,101
101,370077,0,15059,20060420,122398719,102
102,373550,3,18607,20060717,122398719,103
103,100071,0,15447,20060830,122398719,104
104,96659,2,3224,20060725,122398719,105
105,96277,0,9482,20060308,122398719,106
106,238570,1,4994,20060702,122398719,107
107,248113,3,11441,20060710,122398719,108
108,242690,0,10368,20060730,122398719,109
109,485994,2,12098,20060209,122398719,110
110,496163,0,9073,20060801,122398719,111
111,493014,1,12296,20060725,122398719,112
112,542778,0,13595,20060726,122398719,113
113,534991,0,14685,20060531,122398719,114
114,539874,4,11328,20060809,122398719,115
115,355641,0,15310,20060725,122398719,116
116,360529,2,18983,20060510,122398719,117
117,355565,0,19268,20060420,122398719,118
118,207026,1,7138,20060129,122398782,119
119,198824,0,7879,20060413,122398719,120
120,203239,1,9558,20060413,122398719,121
121,171820,0,11646,20060214,122398719,122
122,170152,1,5562,20060706,122398719,123
123,173133,0,7245,20060120,122398719,124
124,191880,1,14222,20060618,122398719,125
125,192055,3,2530,20060710,122398719,126
126,191679,1,6785,20060209,122398719,127
127,150861,1,13586,20060723,122398719,128
128,156326,0,17096,20060228,122398719,129
129,153865,0,17790,20060610,122398719,130
130,281915,3,17605,20060713,122398719,131
131,271837,0,9385,20060120,122398719,132
132,276713,2,12337,20060221,122398719,133
133,462150,3,13795,20060209,122398794,134
134,461605,0,12568,20060509,122398719,135
135,440474,0,5405,20060707,122398719,136
136,440811,0,9651,20060420,122398719,137
137,398105,0,6377,20060714,122398719,138
138,395294,3,12171,20060822,122398719,139
139,396294,2,10340,20060221,122398719,140
140,334226,1,8576,20060801,122398719,141
141,326308,0,2292,20060510,122398719,142
142,327546,0,2299,20060526,122398719,143
143,226505,0,12680,20060629,122398719,144
144,228758,2,15445,20060618,122398794,145
145,226395,3,15894,20060209,122398719,146
146,307191,2,19411,20060510,122398719,147
147,299634,1,7447,20060616,122398719,148
148,301799,0,11818,20060704,122398719,149
149,429826,1,16500,20060121,122398719,150
150,436266,0,19152,20060129,122398719,151
151,433841,0,19151,20060120,122398719,152
152,32683,1,14140,20060702,122398719,153
153,39554,2,15582,20060710,122398719,154
154,26635,0,13606,20060307,122398719,155
155,129561,1,9635,20060807,122398807,156
156,137851,0,12428,20060714,122398719,157
157,137529,0,12859,20060714,122398719,158
158,527591,0,87,20060717,122398719,159
159,521007,2,1393,20060709,122398719,160
160,523950,0,347,20060813,122398719,161
161,213222,1,16564,20060713,122398719,162
162,214179,0,20182,20060714,122398719,163
163,214781,0,19360,20060629,122398719,164
164,239885,0,1138,20060618,122398719,165
165,236731,1,759,20060607,122398719,166
166,238554,1,1219,20060121,122398719,167
167,517679,1,7898,20060707,122398719,168
168,518112,1,3969,20060819,122398719,169
169,517633,0,3355,20060616,122398719,170
170,345460,1,6457,20060502,122398719,171
171,339180,1,5599,20060627,122398719,172
172,340601,0,5670,20060725,122398719,173
173,466770,0,8530,20060628,122398719,174
174,469234,0,5057,20060710,122398719,175
175,466978,0,8832,20060308,122398719,176
176,407197,0,1061,20060731,122398719,177
177,409733,1,957,20060508,122398719,178
178,404734,1,709,20060822,122398719,179
179,289005,0,984,20060410,122398719,180
180,291465,3,1000,20060321,122398719,181
181,78655,0,14637,20060714,122398832,182
182,78492,0,10729,20060710,122398719,183
183,78626,0,16858,20060627,122398719,184
184,388585,0,7678,20060725,122398719,185
185,388834,4,7670,20060710,122398719,186
186,520696,0,15050,20060703,122398719,187
187,520725,0,12596,20060731,122398719,188
188,520898,0,13658,20060711,122398719,189
189,164642,0,14853,20060801,122398719,190
190,165511,0,16940,20060719,122398719,191
191,163643,3,12898,20060716,122398719,192
192,538224,1,6592,20060720,122398719,193
193,540406,0,5576,20060819,122398719,194
194,342944,5,5367,20060817,122398782,195
195,343848,0,4458,20060510,122398719,196
196,189974,0,19029,20060714,122398719,197
197,511686,1,3265,20060706,122398719,198
198,511036,0,6813,20060702,122398719,199
199,51478,0,2638,20060730,122398719,200
200,41720,0,2843,20060801,122398719,201
201,4524,1,3031,20060420,122398719,202
202,3191,0,3429,20051012,122398769,203
203,230188,3,7927,20051113,122398719,204
204,227605,1,15754,20051012,122399961,205
205,156638,2,2241,20060118,122398719,206
206,471310,0,10929,20060709,122398719,207
207,467288,0,16975,20060118,122401188,208
208,170345,0,6133,20060706,122398719,209
209,162762,1,5183,20060710,122398719,210
210,224111,0,14446,20060704,122398719,211
211,218717,0,19321,20060730,122398719,212
212,88559,0,14978,20060423,122398719,213
213,81738,11,12813,20060711,122398719,214
214,85082,2,12795,20060714,122398719,215
215,80739,0,18383,20060227,122398719,216
216,24315,1,7520,20060618,122398719,217
217,22480,0,728,20060730,122398719,218
218,496083,1,6652,20060309,122398719,219
219,493892,2,639,20060714,122398719,220
220,171089,3,17798,20060709,122398719,221
221,170184,0,11468,20060704,122398719,222
222,496177,5,15448,20060815,122398719,223
223,490099,2,14761,20060416,122398719,224
224,180793,0,4016,20060802,122398807,225
225,177273,3,8421,20060530,122398719,226
226,424320,2,1250,20060416,122398719,227
227,418793,0,115,20060221,122398719,228
228,385539,4,18534,20060502,122398719,229
229,386445,0,13022,20060710,122398719,230
230,487386,0,14758,20060813,122398719,231
231,483024,0,18247,20060716,122398719,232
232,420295,0,15721,20060301,122398719,233
233,415135,2,17129,20060730,122398719,234
234,110842,0,4766,20060801,122398807,235
235,106665,0,1724,20060413,122398719,236
236,288571,2,10395,20060717,122398719,237
237,347232,0,1062,20060726,122398719,238
238,20907,0,15306,20060822,122398719,239
239,16205,1,13872,20060420,122398719,240
240,506925,3,336,20060802,122398719,241
241,502458,0,1621,20060717,122398719,242
242,225304,1,16786,20060801,122398719,243
243,221091,0,14987,20060502,122398719,244
244,299206,0,12087,20060529,122398719,245
245,297988,0,7738,20060814,122398719,246
246,254091,1,16460,20060702,122398719,247
247,249788,0,17517,20060529,122398719,248
248,253800,0,13759,20060801,122398719,249
249,282576,3,11826,20060118,122398719,250
250,278661,2,10416,20060307,122398719,251
251,142804,1,6540,20060801,122398719,252
252,139141,0,7160,20060118,122398719,253
253,252289,1,5378,20060127,122398719,254
254,249800,0,7989,20060725,122398719,255
255,15517,0,2716,20060209,122398719,256
256,11949,1,2036,20060221,122398807,257
257,367750,1,14814,20060209,122398719,258
258,365110,1,12709,20060711,122398719,259
259,331815,0,7233,20060308,122398719,260
260,329846,0,4796,20060705,122398719,261
261,239423,0,14266,20060702,122398719,262
262,237347,0,12008,20060725,122398719,263
263,348889,1,9006,20060730,122398719,264
264,346888,2,11072,20060515,122398719,265
265,131822,2,16354,20060709,122398719,266
266,189940,1,18632,20060618,122398719,267
267,189222,1,15991,20060530,122398719,268
268,340859,0,17858,20060530,122398719,269
269,339209,2,15881,20060706,122398719,270
270,317467,0,5020,20060619,122398719,271
271,317051,1,2746,20060728,122398719,272
272,463963,3,10433,20060413,122398719,273
273,461827,2,10082,20060704,122398719,274
274,402372,0,19263,20060209,122398719,275
275,401696,3,17317,20060510,122398719,276
276,455739,3,7109,20060701,122398719,277
277,454135,1,6504,20060529,122398719,278
278,339232,2,7986,20060404,122398794,279
279,338544,0,9463,20060221,122398719,280
280,133859,1,3509,20051012,122398719,281
281,474049,3,9596,20051222,122398719,282
282,66300,1,12453,20060413,122398719,283
283,363265,4,3709,20060717,122398719,284
284,459155,2,13841,20051113,122398719,285
285,477143,0,1417,20051014,122398719,286
286,254244,0,13826,20060726,122398719,287
287,521661,0,19406,20060320,122398719,288
288,531551,2,15704,20060711,122398719,289
289,489028,1,9589,20051222,122398719,290
290,537153,0,3960,20060618,122398719,291
